cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      solids-vof,solids-x-velocity,solids-y-velocity,  air-x-velocity,  air-y-velocity,           dp-dx,           dp-dy,           udm-x,           udm-y
         1, 5.650000000E-01, 5.000000000E-03, 5.000000000E-03, 5.856893430E-04, 2.424858930E-01, 8.639927217E-01, 3.536511610E+00, 3.768743989E+00,-2.965481414E+02, 2.505690632E+03, 2.968137631E+01, 2.617375299E+01
         2, 5.750000000E-01, 5.000000000E-03, 5.000000000E-03, 2.500277278E-04, 3.010637565E-01, 9.963444388E-01, 4.026824817E+00, 4.068025752E+00,-3.946143949E+02, 2.477716846E+03, 1.506205015E+01, 1.241781672E+01
         3, 5.550000000E-01, 5.000000000E-03, 5.000000000E-03, 9.710021319E-04, 1.768976200E-01, 7.321371746E-01, 3.086832934E+00, 3.569975681E+00,-1.710732396E+02, 2.503727962E+03, 4.177462290E+01, 4.073961124E+01
         4, 5.650000000E-01, 1.500000000E-02, 5.000000000E-03, 1.024791224E-03, 1.965390082E-01, 8.373414544E-01, 3.389457616E+00, 3.225779306E+00,-3.040883394E+02, 2.586226965E+03, 4.790141815E+01, 3.583228209E+01
         5, 5.450000000E-01, 5.000000000E-03, 5.000000000E-03, 1.192386198E-03, 1.017021077E-01, 6.000410235E-01, 2.714719681E+00, 3.473252275E+00,-8.105483635E+01, 2.531060010E+03, 4.500994594E+01, 4.949185356E+01
         6, 5.550000000E-01, 1.500000000E-02, 5.000000000E-03, 1.278988255E-03, 1.027652471E-01, 7.089388674E-01, 2.840003922E+00, 3.114798249E+00,-1.669930551E+02, 2.606740720E+03, 4.895462541E+01, 4.302801429E+01
         7, 5.350000000E-01, 5.000000000E-03, 5.000000000E-03, 1.255538578E-03, 2.566683909E-02, 4.811762923E-01, 2.451913512E+00, 3.475631979E+00,-1.614986208E+01, 2.467522048E+03, 4.383793417E+01, 5.410445389E+01
         8, 5.450000000E-01, 1.500000000E-02, 5.000000000E-03, 1.345750082E-03, 9.485060776E-03, 5.861218948E-01, 2.410361803E+00, 3.110964972E+00,-4.524576275E+01, 2.578417146E+03, 4.416389864E+01, 4.644424754E+01
         9, 5.250000000E-01, 5.000000000E-03, 5.000000000E-03, 1.210556648E-03,-3.218801612E-02, 3.768497033E-01, 2.320986207E+00, 3.529228073E+00, 6.285610998E+01, 2.398862784E+03, 4.142739645E+01, 5.549730538E+01
        10, 5.350000000E-01, 1.500000000E-02, 5.000000000E-03, 1.281575773E-03,-6.157248720E-02, 4.778775026E-01, 2.134278915E+00, 3.271442677E+00, 5.782120561E+01, 2.544147950E+03, 3.884723176E+01, 4.942150166E+01
